NaN^NaN^D1_25rfl7k6vhTJc11OPoQ^Amherst, MA 01002^['University of Massachusetts - Amherst']^-72.4968189^NaN^NaN^NaN^True^['Photographers', 'Event Planning & Services']^http://s3-media4.ak.yelpcdn.com/bphoto/In7nIFL5gu19rE-BipQLxQ/ms.jpg^Amherst^2^Sarah Prall Photography^[]^http://www.yelp.com/biz/sarah-prall-photography-amherst^NaN^NaN^MA^5.0^42.3403799^business^NaN
NaN^NaN^QeFNlXslDL3f-kfj5WmM4Q^Chapel Hill, NC 27515^['University of North Carolina - Chapel Hill']^-79.0540122986^NaN^NaN^NaN^True^['Print Media', 'Mass Media']^http://s3-media1.ak.yelpcdn.com/bphoto/FBIvlIUJq3Ku_JRIkbe1aQ/ms.jpg^Chapel Hill^6^The Daily Tar Heel^[]^http://www.yelp.com/biz/the-daily-tar-heel-chapel-hill^NaN^NaN^NC^4.0^35.9150609796^business^NaN
NaN^NaN^we-xtVt8oNuy6YIlRPd8nw^Carrboro Saxapahaw Chapel Hill Durham, NC 27516^['University of North Carolina - Chapel Hill']^-79.0558445^NaN^NaN^NaN^False^['Food', 'Sandwiches', 'Street Vendors', 'Food Stands', 'Restaurants']^http://s3-media1.ak.yelpcdn.com/bphoto/hfexzj7UUcnjcq5c9lN8AA/ms.jpg^Carrboro Saxapahaw Chapel Hill Durham^22^Will & Pop's^[]^http://www.yelp.com/biz/will-and-pops-carrboro-saxapahaw-chapel-hill-durham^NaN^NaN^NC^4.0^35.9131996^business^NaN
NaN^NaN^cg2HYLX2ATtM8d4n6t9a8w^Kingston, NJ 08528^['Princeton University']^-74.6151551^NaN^NaN^NaN^True^['Veterinarians', 'Pets']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^Kingston^3^Kingston Animal Hospital^[]^http://www.yelp.com/biz/kingston-animal-hospital-kingston^NaN^NaN^NJ^4.5^40.3852839^business^NaN
NaN^NaN^qgfodtoL8xwCESjgKwW79A^San Luis Obispo, CA^['California Polytechnic State University']^-120.6596156^NaN^NaN^NaN^True^['Photographers', 'Event Planning & Services']^http://s3-media3.ak.yelpcdn.com/bphoto/_ob2K4cjUkQkbJ_irY8nDg/ms.jpg^San Luis Obispo^3^Sarah Kathleen Photography^[]^http://www.yelp.com/biz/sarah-kathleen-photography-san-luis-obispo^NaN^NaN^CA^5.0^35.2827524^business^NaN
NaN^NaN^_gznrE5QoMJelH69U7v7cw^University Park, MD 20782^['University of Maryland - College Park']^-76.943726^NaN^NaN^NaN^True^['Pet Services', 'Pet Boarding/Pet Sitting', 'Pets']^http://s3-media4.ak.yelpcdn.com/bphoto/B8DyEyoIc3fuSRG5qNEjUQ/ms.jpg^University Park^2^Family Tails Pet Sitters LLC^[]^http://www.yelp.com/biz/family-tails-pet-sitters-llc-university-park^NaN^NaN^MD^5.0^38.966773^business^NaN
NaN^NaN^ZKS_l_xMMkL-8hfiE-lXig^Champaign, IL 61820^['University of Illinois - Urbana-Champaign']^-88.2412504^NaN^NaN^NaN^True^['Arts & Entertainment', 'Performing Arts', 'Local Flavor']^http://s3-media1.ak.yelpcdn.com/bphoto/CUuYGx7HmYJ8EdoTXj_v6g/ms.jpg^Champaign^2^Pygmalion Music Festival^[]^http://www.yelp.com/biz/pygmalion-music-festival-champaign^NaN^NaN^IL^4.0^40.1063691^business^NaN
NaN^NaN^JH9ZE5st5Z4WtOGe_i_BEg^San Luis Obispo, CA 93403^['California Polytechnic State University']^-120.66^NaN^NaN^NaN^True^['Plumbing', 'Home Services']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^San Luis Obispo^2^JERRY'S PLUMBING & HEATING^[]^http://www.yelp.com/biz/jerrys-plumbing-and-heating-san-luis-obispo^NaN^NaN^CA^3.0^35.28^business^NaN
NaN^NaN^tADsj42EvCWRgQoZp5W7Wg^College Park, MD 20741^['University of Maryland - College Park']^-76.9373^NaN^NaN^NaN^True^['Nail Salons', 'Beauty and Spas']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^College Park^2^Fantasy Nails^[]^http://www.yelp.com/biz/fantasy-nails-college-park^NaN^NaN^MD^2.5^38.9808^business^NaN
NaN^NaN^2a-UIu0o_IpGCj_45IHBRA^West Lafayette, IN 47906^['Purdue University']^-86.915756^NaN^NaN^NaN^True^['Local Services', 'Sewing & Alterations']^http://s3-media1.ak.yelpcdn.com/assets/2/www/img/924a6444ca6c/gfx/blank_biz_medium.gif^West Lafayette^2^GabyCouture Alterations & Design^[]^http://www.yelp.com/biz/gabycouture-alterations-and-design-west-lafayette^NaN^NaN^IN^3.0^40.448162^business^NaN
